name,response,confidence_no_fp,exp_url,source,scope,expected_countries,notes
dns_isp_id_sehat_first,202.73.99.3,10,https://explorer.ooni.org/measurement/20161003T063421Z_AS23700_BcAJiWTdgtzSTE5ezaPJoywgMdwm8hZm8yb6Hw3iUB8atIiJCI?input=http://transsexual.org,['https://www.firstmedia.com/'],isp,['ID'],Indonesian ISP First Media blockpage
dns_isp_id_sehat_firstmedia,internetpositif3.firstmedia.com,10,https://explorer.ooni.org/measurement/20190612T150505Z_AS23700_e7qsqPDY72QkdwPcDeUb5NkHxZ9HgpHOuU8p5oNFp5uW4BJAk7?input=https://www.shoe.org/,['https://www.firstmedia.com/'],isp,['ID'],Indonesian ISP FirstMedia blockpage. Matches against a CNAME record IP was 202.137.1.74 when observed.
dns_isp_id_sehat_foxlinemedia,103.83.96.242,10,,['http://www.foxline.net.id/'],isp,['ID'],Indonesian ISP Foxline Media blockpage
dns_isp_id_sehat_gmedia_cname,xblock.gmedia.net.id,10,https://explorer.ooni.org/measurement/20190301T020519Z_AS55666_zcD5kLAL3QHZypge7Kppqp2ysd5p76afVPmvC7XlZ8zol52iEl?input=http://ilga.org/,['https://gmedia.net.id/'],isp,['ID'],Indonesian ISP GMedia blockpage. Matches CNAME record with an IP of 49.128.177.13 when observed.
dns_isp_id_sehat_gmedia_ip,49.128.177.13,10,https://explorer.ooni.org/measurement/20180119T133726Z_AS55666_NfgRumGXxCBp0t0SjoNsX0KyrzzmQmoXbSoXzPfHgw9ICwI5zr?input=http://www.queernet.org,['https://gmedia.net.id/'],isp,['ID'],Indonesian ISP GMedia blockpage. Matches cases where IP is used instead of CNAME.
dns_isp_id_sehat_gooptix,103.108.159.238,10,,['http://connectivist.co.id/'],isp,['ID'],Indonesian ISP Go-Optix blockpage
dns_isp_id_sehat_hanastar,203.160.56.38,10,,['http://www.hanastar.net.id/en/index.php'],isp,['ID'],Indonesian ISP Hanastar ID blockpage
dns_isp_id_sehat_hypernet_1,114.129.22.33,10,https://explorer.ooni.org/measurement/20170323T040824Z_AS38758_zjtAoJrqVgnQCOYSHGqrVt4bSHxEUGnj0DvgJqHEJMKnnmllir?input=http://transsexual.org,['https://hypernet.co.id/'],isp,['ID'],Indonesian ISP Hypernet blockpage
dns_isp_id_sehat_hypernet_2,114.129.23.9,10,,['https://hypernet.co.id/'],isp,['ID'],Indonesian ISP Hypernet blockpage
dns_isp_id_sehat_idnic_1,203.119.13.75,10,https://explorer.ooni.org/measurement/20171120T160605Z_AS0_J83hVqCVk4VUk9IGei68s4rSrT0F9OWHa3EzXwz6iJaHcxCO6J?input=https://www.gay.com/,['https://www.idnic.id/'],isp,['ID'],Indonesian NIC blockpage
